Timestamp,Concentration of Active Ingredient,Pressure,pH Level
2025-02-27 17:43:14,0.54,4.0,7.43
2025-02-27 17:53:14,0.5800000000000001,3.99,7.44
2025-02-27 18:03:14,0.6100000000000001,3.97,7.46
2025-02-27 18:13:14,0.6300000000000001,3.93,7.47
2025-02-27 18:23:14,0.6400000000000001,3.88,7.47
2025-02-27 18:33:14,0.6600000000000001,3.82,7.48
2025-02-27 18:43:14,0.6700000000000002,3.74,7.49
2025-02-27 18:53:14,0.7000000000000002,3.65,7.49
2025-02-27 19:03:14,0.7400000000000002,3.55,7.5
2025-02-27 19:13:14,0.7700000000000002,3.43,7.5
2025-02-27 19:23:14,0.8100000000000003,3.31,7.5
2025-02-27 19:33:14,0.8600000000000003,3.18,7.5
2025-02-27 19:43:14,0.8900000000000003,3.04,7.5
2025-02-27 19:53:14,0.9100000000000004,2.9,7.5
2025-02-27 20:03:14,0.9500000000000004,2.75,7.49
2025-02-27 20:13:14,0.9900000000000004,2.61,7.49
2025-02-27 20:23:14,1.0000000000000004,2.46,7.48
2025-02-27 20:33:14,1.0500000000000005,2.31,7.47
2025-02-27 20:43:14,1.0800000000000005,2.16,7.46
2025-02-27 20:53:14,1.1300000000000006,2.02,7.46
2025-02-27 21:03:14,1.1600000000000006,1.88,7.44
2025-02-27 21:13:14,1.1900000000000006,1.74,7.43
2025-02-27 21:23:14,1.2400000000000007,1.62,7.42
2025-02-27 21:33:14,1.2700000000000007,1.5,7.41
2025-02-27 21:43:14,1.2900000000000007,1.39,7.39
2025-02-27 21:53:14,1.3300000000000007,1.3,7.37
2025-02-27 22:03:14,1.3500000000000008,1.21,7.36
2025-02-27 22:13:14,1.3700000000000008,1.14,7.34
2025-02-27 22:23:14,1.4200000000000008,1.09,7.32
2025-02-27 22:33:14,1.4600000000000009,1.04,7.3
2025-02-27 22:43:14,1.510000000000001,1.02,7.28
2025-02-27 22:53:14,1.560000000000001,1.0,7.26
2025-02-27 23:03:14,1.600000000000001,1.0,7.24
2025-02-27 23:13:14,1.650000000000001,1.02,7.21
2025-02-27 23:23:14,1.690000000000001,1.05,7.19
2025-02-27 23:33:14,1.710000000000001,1.1,7.17
2025-02-27 23:43:14,1.720000000000001,1.15,7.15
2025-02-27 23:53:14,1.740000000000001,1.23,7.12
2025-02-28 00:03:14,1.7700000000000011,1.31,7.1
2025-02-28 00:13:14,1.8000000000000012,1.41,7.07
2025-02-28 00:23:14,1.8400000000000012,1.52,7.05
2025-02-28 00:33:14,1.8700000000000012,1.64,7.02
2025-02-28 00:43:14,1.8900000000000012,1.76,7.0
2025-02-28 00:53:14,1.9300000000000013,1.9,6.97
2025-02-28 01:03:14,1.9700000000000013,2.04,6.95
2025-02-28 01:13:14,2.010000000000001,2.18,6.92
2025-02-28 01:23:14,2.060000000000001,2.33,6.9
2025-02-28 01:33:14,2.080000000000001,2.48,6.87
2025-02-28 01:43:14,2.120000000000001,2.63,6.85
2025-02-28 01:53:14,2.170000000000001,2.78,6.83
2025-02-28 02:03:14,2.210000000000001,2.93,6.8
2025-02-28 02:13:14,2.2400000000000007,3.07,6.78
2025-02-28 02:23:14,2.2700000000000005,3.2,6.76
2025-02-28 02:33:14,2.3100000000000005,3.33,6.74
2025-02-28 02:43:14,2.3500000000000005,3.45,6.72
2025-02-28 02:53:14,2.3900000000000006,3.56,6.7
2025-02-28 03:03:14,2.4400000000000004,3.66,6.68
2025-02-28 03:13:14,2.4600000000000004,3.75,6.66
2025-02-28 03:23:14,2.4800000000000004,3.83,6.64
2025-02-28 03:33:14,2.5000000000000004,3.89,6.62
2025-02-28 03:43:14,2.5300000000000002,3.94,6.61
2025-02-28 03:53:14,2.54,3.97,6.59
2025-02-28 04:03:14,2.58,3.99,6.58
2025-02-28 04:13:14,2.63,4.0,6.56
2025-02-28 04:23:14,2.67,3.99,6.55
2025-02-28 04:33:14,2.71,3.96,6.54
2025-02-28 04:43:14,2.7399999999999998,3.93,6.53
2025-02-28 04:53:14,2.78,3.87,6.52
2025-02-28 05:03:14,2.82,3.8,6.52
2025-02-28 05:13:14,2.8499999999999996,3.72,6.51
2025-02-28 05:23:14,2.8899999999999997,3.63,6.51
2025-02-28 05:33:14,2.9299999999999997,3.53,6.5
2025-02-28 05:43:14,2.9699999999999998,3.41,6.5
2025-02-28 05:53:14,3.01,3.29,6.5
2025-02-28 06:03:14,3.0399999999999996,3.16,6.5
2025-02-28 06:13:14,3.0799999999999996,3.02,6.5
2025-02-28 06:23:14,3.1099999999999994,2.88,6.5
2025-02-28 06:33:14,3.1399999999999992,2.73,6.51
2025-02-28 06:43:14,3.1799999999999993,2.58,6.51
2025-02-28 06:53:14,3.209999999999999,2.43,6.52
2025-02-28 07:03:14,3.239999999999999,2.28,6.53
2025-02-28 07:13:14,3.2699999999999987,2.13,6.54
2025-02-28 07:23:14,3.2899999999999987,1.99,6.55
2025-02-28 07:33:14,3.3299999999999987,1.85,6.56
2025-02-28 07:43:14,3.3699999999999988,1.72,6.57
2025-02-28 07:53:14,3.3999999999999986,1.6,6.58
2025-02-28 08:03:14,3.4399999999999986,1.48,6.6
2025-02-28 08:13:14,3.4799999999999986,1.38,6.61
2025-02-28 08:23:14,3.5099999999999985,1.28,6.63
